filepath,label,class_name,split
train/train/air_pick/椋庣偖0186.npy,0,air_pick,train
train/train/air_pick/椋庣偖2247.npy,0,air_pick,train
train/train/air_pick/椋庣偖3405.npy,0,air_pick,train
train/train/air_pick/椋庣偖1430.npy,0,air_pick,train
train/train/air_pick/椋庣偖0106.npy,0,air_pick,train
train/train/air_pick/椋庣偖2193.npy,0,air_pick,train
train/train/air_pick/椋庣偖1361.npy,0,air_pick,train
train/train/air_pick/椋庣偖3759.npy,0,air_pick,train
train/train/air_pick/椋庣偖0348.npy,0,air_pick,train
train/train/air_pick/椋庣偖1045.npy,0,air_pick,train
train/train/air_pick/椋庣偖2014.npy,0,air_pick,train
train/train/air_pick/椋庣偖1305.npy,0,air_pick,train
train/train/air_pick/椋庣偖0232.npy,0,air_pick,train
train/train/air_pick/椋庣偖0665.npy,0,air_pick,train
train/train/air_pick/椋庣偖1993.npy,0,air_pick,train
train/train/air_pick/椋庣偖1918.npy,0,air_pick,train
train/train/air_pick/椋庣偖2340.npy,0,air_pick,train
train/train/air_pick/椋庣偖1632.npy,0,air_pick,train
train/train/air_pick/椋庣偖0342.npy,0,air_pick,train
train/train/air_pick/椋庣偖3065.npy,0,air_pick,train
train/train/air_pick/椋庣偖1517.npy,0,air_pick,train
train/train/air_pick/椋庣偖3030.npy,0,air_pick,train
train/train/air_pick/椋庣偖1405.npy,0,air_pick,train
train/train/air_pick/椋庣偖1646.npy,0,air_pick,train
train/train/air_pick/椋庣偖3414.npy,0,air_pick,train
train/train/air_pick/椋庣偖2279.npy,0,air_pick,train
train/train/air_pick/椋庣偖2993.npy,0,air_pick,train
train/train/air_pick/椋庣偖2628.npy,0,air_pick,train
train/train/air_pick/椋庣偖3012.npy,0,air_pick,train
train/train/air_pick/椋庣偖2054.npy,0,air_pick,train
train/train/air_pick/椋庣偖3756.npy,0,air_pick,train
train/train/air_pick/椋庣偖2212.npy,0,air_pick,train
train/train/air_pick/椋庣偖1459.npy,0,air_pick,train
train/train/air_pick/椋庣偖2530.npy,0,air_pick,train
train/train/air_pick/椋庣偖1103.npy,0,air_pick,train
train/train/air_pick/椋庣偖2777.npy,0,air_pick,train
train/train/air_pick/椋庣偖0469.npy,0,air_pick,train
train/train/air_pick/椋庣偖1163.npy,0,air_pick,train
train/train/air_pick/椋庣偖2973.npy,0,air_pick,train
train/train/air_pick/椋庣偖1262.npy,0,air_pick,train
train/train/air_pick/椋庣偖0174.npy,0,air_pick,train
train/train/air_pick/椋庣偖1416.npy,0,air_pick,train
train/train/air_pick/椋庣偖1314.npy,0,air_pick,train
train/train/air_pick/椋庣偖3834.npy,0,air_pick,train
