mat_path,label,label_name,start,end,split
train_x.npy#0,0,0,0,512,train
train_x.npy#1,1,1,0,512,train
train_x.npy#2,0,0,0,512,train
train_x.npy#3,0,0,0,512,train
train_x.npy#4,0,0,0,512,train
train_x.npy#5,0,0,0,512,train
train_x.npy#6,0,0,0,512,train
train_x.npy#7,0,0,0,512,train
train_x.npy#8,0,0,0,512,train
train_x.npy#9,0,0,0,512,train
train_x.npy#10,1,1,0,512,train
train_x.npy#11,0,0,0,512,train
train_x.npy#12,1,1,0,512,train
train_x.npy#13,1,1,0,512,train
train_x.npy#14,0,0,0,512,train
train_x.npy#15,1,1,0,512,train
train_x.npy#16,0,0,0,512,train
train_x.npy#17,0,0,0,512,train
train_x.npy#18,0,0,0,512,train
train_x.npy#19,0,0,0,512,train
train_x.npy#20,0,0,0,512,train
train_x.npy#21,0,0,0,512,train
train_x.npy#22,1,1,0,512,train
train_x.npy#23,1,1,0,512,train
train_x.npy#24,0,0,0,512,train
train_x.npy#25,1,1,0,512,train
train_x.npy#26,0,0,0,512,train
train_x.npy#27,0,0,0,512,train
train_x.npy#28,0,0,0,512,train
train_x.npy#29,0,0,0,512,train
train_x.npy#30,1,1,0,512,train
train_x.npy#31,0,0,0,512,train
train_x.npy#32,0,0,0,512,train
train_x.npy#33,0,0,0,512,train
train_x.npy#34,1,1,0,512,train
train_x.npy#35,0,0,0,512,train
train_x.npy#36,0,0,0,512,train
train_x.npy#37,0,0,0,512,train
train_x.npy#38,0,0,0,512,train
train_x.npy#39,1,1,0,512,train
train_x.npy#40,1,1,0,512,train
train_x.npy#41,0,0,0,512,train
train_x.npy#42,1,1,0,512,train
train_x.npy#43,0,0,0,512,train
train_x.npy#44,1,1,0,512,train
train_x.npy#45,0,0,0,512,train
train_x.npy#46,0,0,0,512,train
train_x.npy#47,1,1,0,512,train
train_x.npy#48,1,1,0,512,train
train_x.npy#49,0,0,0,512,train
train_x.npy#50,1,1,0,512,train
train_x.npy#51,0,0,0,512,train
train_x.npy#52,0,0,0,512,train
train_x.npy#53,0,0,0,512,train
train_x.npy#54,0,0,0,512,train
train_x.npy#55,0,0,0,512,train
train_x.npy#56,1,1,0,512,train
train_x.npy#57,0,0,0,512,train
train_x.npy#58,0,0,0,512,train
train_x.npy#59,1,1,0,512,train
train_x.npy#60,0,0,0,512,train
train_x.npy#61,1,1,0,512,train
train_x.npy#62,1,1,0,512,train
train_x.npy#63,0,0,0,512,train
train_x.npy#64,0,0,0,512,train
train_x.npy#65,1,1,0,512,train
train_x.npy#66,0,0,0,512,train
train_x.npy#67,0,0,0,512,train
train_x.npy#68,1,1,0,512,train
train_x.npy#69,0,0,0,512,train
train_x.npy#70,0,0,0,512,train
train_x.npy#71,0,0,0,512,train
train_x.npy#72,0,0,0,512,train
train_x.npy#73,0,0,0,512,train
train_x.npy#74,1,1,0,512,train
train_x.npy#75,0,0,0,512,train
train_x.npy#76,0,0,0,512,train
train_x.npy#77,0,0,0,512,train
train_x.npy#78,1,1,0,512,train
train_x.npy#79,0,0,0,512,train
train_x.npy#80,0,0,0,512,train
train_x.npy#81,0,0,0,512,train
train_x.npy#82,0,0,0,512,train
train_x.npy#83,1,1,0,512,train
train_x.npy#84,0,0,0,512,train
train_x.npy#85,0,0,0,512,train
train_x.npy#86,0,0,0,512,train
train_x.npy#87,0,0,0,512,train
train_x.npy#88,0,0,0,512,train
train_x.npy#89,0,0,0,512,train
train_x.npy#90,0,0,0,512,train
train_x.npy#91,0,0,0,512,train
train_x.npy#92,0,0,0,512,train
train_x.npy#93,0,0,0,512,train
train_x.npy#94,0,0,0,512,train
train_x.npy#95,1,1,0,512,train
train_x.npy#96,0,0,0,512,train
train_x.npy#97,0,0,0,512,train
train_x.npy#98,1,1,0,512,train
train_x.npy#99,0,0,0,512,train
train_x.npy#100,0,0,0,512,train
train_x.npy#101,0,0,0,512,train
train_x.npy#102,0,0,0,512,train
train_x.npy#103,0,0,0,512,train
train_x.npy#104,1,1,0,512,train
train_x.npy#105,1,1,0,512,train
train_x.npy#106,0,0,0,512,train
train_x.npy#107,1,1,0,512,train
train_x.npy#108,0,0,0,512,train
train_x.npy#109,1,1,0,512,train
train_x.npy#110,1,1,0,512,train
train_x.npy#111,0,0,0,512,train
