file_path,mat_path,split,class_name,label_name,label_id,label,sample_id,source_sample_id,source_file,mat_key,original_shape,start,end,spatial_reduce,file_sha256
test/01_background/220112_cxm_background_01_single_data_32.mat,test/01_background/220112_cxm_background_01_single_data_32.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_01_single_data_32,test/01_background/220112_cxm_background_01_single_data_32,test/01_background/220112_cxm_background_01_single_data_32.mat,data,"[10000, 12]",0,10000,rms,242d9ba68d631c03993d56d871ab4875db1c71c9e131065fa467efb1ffd60fee
test/01_background/220112_cxm_background_01_single_data_43.mat,test/01_background/220112_cxm_background_01_single_data_43.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_01_single_data_43,test/01_background/220112_cxm_background_01_single_data_43,test/01_background/220112_cxm_background_01_single_data_43.mat,data,"[10000, 12]",0,10000,rms,24091b98f6607d263b5b02f22ef18dfcbf41c6835cd3a8270e0606717f12dd24
test/01_background/220112_cxm_background_01_single_data_44.mat,test/01_background/220112_cxm_background_01_single_data_44.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_01_single_data_44,test/01_background/220112_cxm_background_01_single_data_44,test/01_background/220112_cxm_background_01_single_data_44.mat,data,"[10000, 12]",0,10000,rms,edd3ae7d890a90a0f031ca33c5100278ff9c07e1f92e61973b6045f596ddb580
test/01_background/220112_cxm_background_01_single_data_5.mat,test/01_background/220112_cxm_background_01_single_data_5.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_01_single_data_5,test/01_background/220112_cxm_background_01_single_data_5,test/01_background/220112_cxm_background_01_single_data_5.mat,data,"[10000, 12]",0,10000,rms,cf2e420c57671ca9840c64d562f93a5caef728862ac053bd30a3a9a0f729406b
test/01_background/220112_cxm_background_01_single_data_51.mat,test/01_background/220112_cxm_background_01_single_data_51.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_01_single_data_51,test/01_background/220112_cxm_background_01_single_data_51,test/01_background/220112_cxm_background_01_single_data_51.mat,data,"[10000, 12]",0,10000,rms,588ad4fc763b5a2ce88aa055bd25a898653cc358ef05f0c49a1e0a1c198d108d
test/01_background/220112_cxm_background_01_single_data_52.mat,test/01_background/220112_cxm_background_01_single_data_52.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_01_single_data_52,test/01_background/220112_cxm_background_01_single_data_52,test/01_background/220112_cxm_background_01_single_data_52.mat,data,"[10000, 12]",0,10000,rms,a6478a1f01d239e7fad49baef08b03b3d683f5765ff3156b66db0d7cc2bda7b2
test/01_background/220112_cxm_background_01_single_data_6.mat,test/01_background/220112_cxm_background_01_single_data_6.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_01_single_data_6,test/01_background/220112_cxm_background_01_single_data_6,test/01_background/220112_cxm_background_01_single_data_6.mat,data,"[10000, 12]",0,10000,rms,a23ccc6f1481b439144c1094b3ebb90db3f065c76908be927b8d76941ee58410
test/01_background/220112_cxm_background_01_single_data_7.mat,test/01_background/220112_cxm_background_01_single_data_7.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_01_single_data_7,test/01_background/220112_cxm_background_01_single_data_7,test/01_background/220112_cxm_background_01_single_data_7.mat,data,"[10000, 12]",0,10000,rms,4b0d4f43c2a1ab9901d0c8fddcd64962089fad7ffc22c1d5f1f649cd9f05c19c
test/01_background/220112_cxm_background_02_single_data_1.mat,test/01_background/220112_cxm_background_02_single_data_1.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_02_single_data_1,test/01_background/220112_cxm_background_02_single_data_1,test/01_background/220112_cxm_background_02_single_data_1.mat,data,"[10000, 12]",0,10000,rms,7dba28770c5e29b897696de02c8a4c91f2a70190708d3a9e45ef5a4f91cf4026
test/01_background/220112_cxm_background_02_single_data_12.mat,test/01_background/220112_cxm_background_02_single_data_12.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_02_single_data_12,test/01_background/220112_cxm_background_02_single_data_12,test/01_background/220112_cxm_background_02_single_data_12.mat,data,"[10000, 12]",0,10000,rms,a3eabef48312b3c519a395f54893277caa1814535c283f1a4f6ce6ea9ec16f90
test/01_background/220112_cxm_background_02_single_data_13.mat,test/01_background/220112_cxm_background_02_single_data_13.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_02_single_data_13,test/01_background/220112_cxm_background_02_single_data_13,test/01_background/220112_cxm_background_02_single_data_13.mat,data,"[10000, 12]",0,10000,rms,4c126ae4222d4969fb99687e78f713b9d13bf12044c624c9a4b0fe2ebac12371
test/01_background/220112_cxm_background_02_single_data_14.mat,test/01_background/220112_cxm_background_02_single_data_14.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_02_single_data_14,test/01_background/220112_cxm_background_02_single_data_14,test/01_background/220112_cxm_background_02_single_data_14.mat,data,"[10000, 12]",0,10000,rms,391c4ef07bdf22125efa73cc54e4eab52fc0672226fb91390ab6e4cd44814032
test/01_background/220112_cxm_background_02_single_data_17.mat,test/01_background/220112_cxm_background_02_single_data_17.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_02_single_data_17,test/01_background/220112_cxm_background_02_single_data_17,test/01_background/220112_cxm_background_02_single_data_17.mat,data,"[10000, 12]",0,10000,rms,b3aebe028e5ecdd1c5811fbb81c2f0d10772490873490c0567c620c2c3dd76d8
test/01_background/220112_cxm_background_02_single_data_18.mat,test/01_background/220112_cxm_background_02_single_data_18.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_02_single_data_18,test/01_background/220112_cxm_background_02_single_data_18,test/01_background/220112_cxm_background_02_single_data_18.mat,data,"[10000, 12]",0,10000,rms,7ac68d93aef7373f4227b5a87fd12b32812b66eaf6efb18700311dcd4880961f
test/01_background/220112_cxm_background_02_single_data_19.mat,test/01_background/220112_cxm_background_02_single_data_19.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_02_single_data_19,test/01_background/220112_cxm_background_02_single_data_19,test/01_background/220112_cxm_background_02_single_data_19.mat,data,"[10000, 12]",0,10000,rms,e35a3c553854589c7c2e9ac141a0a7beda59ff64fefc72b7d70860155fec275c
test/01_background/220112_cxm_background_02_single_data_2.mat,test/01_background/220112_cxm_background_02_single_data_2.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_02_single_data_2,test/01_background/220112_cxm_background_02_single_data_2,test/01_background/220112_cxm_background_02_single_data_2.mat,data,"[10000, 12]",0,10000,rms,e0d7ff5066214879296caf59353942a7a9405778f700b1accd61d0290698cf9e
test/01_background/220112_cxm_background_02_single_data_28.mat,test/01_background/220112_cxm_background_02_single_data_28.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_02_single_data_28,test/01_background/220112_cxm_background_02_single_data_28,test/01_background/220112_cxm_background_02_single_data_28.mat,data,"[10000, 12]",0,10000,rms,06dbaabb33b20df8b676346a9655f132a2f7479cb53543dd2956854505f54743
test/01_background/220112_cxm_background_02_single_data_30.mat,test/01_background/220112_cxm_background_02_single_data_30.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_02_single_data_30,test/01_background/220112_cxm_background_02_single_data_30,test/01_background/220112_cxm_background_02_single_data_30.mat,data,"[10000, 12]",0,10000,rms,5db9dbc4ba96a29194854c1b1370359d65d47afc65eff6ac54daca5ec1b031af
test/01_background/220112_cxm_background_02_single_data_37.mat,test/01_background/220112_cxm_background_02_single_data_37.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_02_single_data_37,test/01_background/220112_cxm_background_02_single_data_37,test/01_background/220112_cxm_background_02_single_data_37.mat,data,"[10000, 12]",0,10000,rms,4993d7cab41d7d68e11858171a9e061b8e69e46c05db9b144bbba86984ebf385
test/01_background/220112_cxm_background_02_single_data_38.mat,test/01_background/220112_cxm_background_02_single_data_38.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_02_single_data_38,test/01_background/220112_cxm_background_02_single_data_38,test/01_background/220112_cxm_background_02_single_data_38.mat,data,"[10000, 12]",0,10000,rms,18185a8d9dc3808485cba58882949bb707b3d543a928120180f8e49a34b90e94
test/01_background/220112_cxm_background_02_single_data_45.mat,test/01_background/220112_cxm_background_02_single_data_45.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_02_single_data_45,test/01_background/220112_cxm_background_02_single_data_45,test/01_background/220112_cxm_background_02_single_data_45.mat,data,"[10000, 12]",0,10000,rms,b7f1888cd38e6e50be6e108ff86367320d3cfaded5ec84e204ba5843314fc95f
test/01_background/220112_cxm_background_02_single_data_57.mat,test/01_background/220112_cxm_background_02_single_data_57.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_02_single_data_57,test/01_background/220112_cxm_background_02_single_data_57,test/01_background/220112_cxm_background_02_single_data_57.mat,data,"[10000, 12]",0,10000,rms,5674a41245188002f13997f81964793fc8638681527402d5e3d27c44b8daa5a4
test/01_background/220112_cxm_background_02_single_data_61.mat,test/01_background/220112_cxm_background_02_single_data_61.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_02_single_data_61,test/01_background/220112_cxm_background_02_single_data_61,test/01_background/220112_cxm_background_02_single_data_61.mat,data,"[10000, 12]",0,10000,rms,6f52c7d7d94c81fd56d344bb42f72445b7428ac03b57755038ab6987ac5fffa1
test/01_background/220112_cxm_background_03_single_data_20.mat,test/01_background/220112_cxm_background_03_single_data_20.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_03_single_data_20,test/01_background/220112_cxm_background_03_single_data_20,test/01_background/220112_cxm_background_03_single_data_20.mat,data,"[10000, 12]",0,10000,rms,48f7b351710cde1ce1b6705ace118156abd89d668331fa01bb708109b5b57a15
test/01_background/220112_cxm_background_03_single_data_29.mat,test/01_background/220112_cxm_background_03_single_data_29.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_03_single_data_29,test/01_background/220112_cxm_background_03_single_data_29,test/01_background/220112_cxm_background_03_single_data_29.mat,data,"[10000, 12]",0,10000,rms,bc7f88d04bc329776be57499e5fe45a964c103ba589898344baff6f2dbd0d9de
test/01_background/220112_cxm_background_03_single_data_4.mat,test/01_background/220112_cxm_background_03_single_data_4.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_03_single_data_4,test/01_background/220112_cxm_background_03_single_data_4,test/01_background/220112_cxm_background_03_single_data_4.mat,data,"[10000, 12]",0,10000,rms,53269803b11ee95ebad26f0623e7720d3a47b2f7be184f08fdc8c43573964878
test/01_background/220112_cxm_background_03_single_data_41.mat,test/01_background/220112_cxm_background_03_single_data_41.mat,test,01_background,01_background,0,0,test/01_background/220112_cxm_background_03_single_data_41,test/01_background/220112_cxm_background_03_single_data_41,test/01_background/220112_cxm_background_03_single_data_41.mat,data,"[10000, 12]",0,10000,rms,d9972b703b8dd454acd751a7642cd2f365158a7c7ffbaa1df4e8028bc34bd8aa
